02.09.2026                                                                                                                                                                Dynamic List Display                                                                                                                                                                                                                         1

Table: T059P

	MANDT	LAND1	WITHT	WT_TPNR	WT_ACCPT	WT_ACCALL	WT_ACCTMAX	WT_WTRD	WT_CEINV	WT_BASE	WT_DOPOST	WT_POSTM	WT_ALWT	WT_WTDSC	WT_SLFWT	WT_WTDP	WT_MANUAL	WT_MAINTB	WT_MAINTA	WT_REDBAS	WT_WTINV	REGIO	TDFORM	WT_BCPLVL	WT_CTNBRL	WT_MANBAS	KSCHL	J_1BSUMVAL	J_1BTEXKEY	WT_KURST	WT_INHERITBASE	WT_NOREDUCTION	J_1AFORMAT	KSCHL_TX	J_1BWHTBASE_NF	ALL_TAX_CODES	J_DAILY_ACC	TEXT40
	500	IN	85	    000	0			01		2	X	1				    000		2	2						X	X				TTB								194LC Intt.on Exter.Comm.Borrowing NCorp
	500	IN	86	    000	0			01		2	X	1				    000		2	2						X	X				TTB								194LC Intt. on Exter.Comm.Borrowing Corp
	500	IN	87	    114	0			01		2	X	1				    000		2	2						X	X				TTB								194LD Intt. on dominated bond Non-corp.
	500	IN	88	    115	0			01		2	X	1				    000		2	2						X	X				TTB								194LD Intt. on dominated bond Corp.
	500	IN	89	    109	0			01	1	2	X	2		X		    000		2	2					0	X	X				TTB								194J-(ADV) PROFESIONAL CHARGES
	500	IN	8C	    063	0			00		2	X	1				    018		2	2						X	X					X							194C-Inv-Advtg Contract(Non-Corp)-EDU CE
	500	IN	90	    112	0			01		1	X	1				    000		2	2						X	X												Buiding Workers Cess
	500	IN	91	    123	0			01		2	X	1				    000		2	2						X	X				TTB								195-Inv-Non Residents(Corp)-Sec 44
	500	IN	92	    124	0			01		2	X	1				    000		2	2						X	X				TTB								195-Inv-Non Residents(Non-Corp)-Sec 44
	500	IN	93	    106	0			01		2	X	1				    000		2	2						X	X				TTB								194I -(INV) RENT OF P&M AND EQPT
	500	IN	94	    125	0			01		2	X	1				    000		2	2						X	X				TTB								EQUALIZATION LEVY
	500	IN	95	    118	0			00		2	X	1				    000		2	2						X	X				M								Service Tax (New)
	500	IN	96	    120	0			00		2	X	1				    000		2	2						X	X				M								Service Tax (Swatch Bharat Cess)
	500	IN	97	    121	0			00		2	X	1				    000		2	2						X	X				M								Service Tax (w.e.f.15.11.15)
	500	IN	98	    122	0			00		2	X	1				    000		2	2						X	X				M								Service Tax (Krishi Kalyan Cess)
	500	IN	99	    126	0			00		2	X	1				    000		2	2						X	X				TTB								exemption under section 197
	500	IN	9A	    137	0			01		2	X	1				    000		2	2						X	X				TTB								194E- Non Residents(Non-Corp)sports
	500	IN	9B	    138	0			01		2	X	1				    000		2	2						X	X				TTB								194E- Non Residents(Corp)sports
	500	IN	9C	    139	0			01		2	X	1				    000		2	2						X	X				TTB								194LC Intt.on Exter.Comm.Borrowing NCorp
	500	IN	9D	    140	0			01		2	X	1				    000		2	2						X	X				TTB								194LC Intt. on Exter.Comm.Borrowing Corp
	500	IN	9E	    141	0			01		2	X	1				    000		2	2						X	X				TTB								194LD Intt. on dominated bond Non-corp.
	500	IN	9F	    142	0			01		2	X	1				    000		2	2						X	X				TTB								194LD Intt. on dominated bond Corp.
	500	IN	9G	    143	0			01		2	X	1				    000		2	2						X	X				TTB								195-Inv-Non Residents(Corp)
	500	IN	9H	    144	0			01		2	X	1				    000		2	2						X	X				TTB								195-Inv-Non Residents(Non-Corp)
	500	IN	9I	    145	0			01		2	X	1				    000		2	2						X	X				TTB								195-Non Residents(Corp) Sec 44BB,44D,DTA
	500	IN	9J	    130	0			01		2	X	1				    000		2	2						X	X				TTB								195-NonResidts(Non-Cor) Sec 44BB,44D,DTA
	500	IN	9K	    150	0			01		2	X	1				    000		2	2						X	X				TTB								195(2)& 195(3) -Inv-Non Residents(Corp)
	500	IN	9L	    146	0			00	1	2	X	2		X		    000		2	2					0	X	X				TTB								195-Adv-Non Residents(Corp)
	500	IN	9M	    131	0			01		2	X	1				    000		2	2						X	X				TTB								197(1) &195 -Corporate Residents
	500	IN	9N	    135	0			00	1	2	X	2		X		    000		2	2					0	X	X				TTB								195-Adv-Non Residents(Non Corp)
	500	IN	9O	    136	0			01		2	X	1				    000		2	2						X	X				TTB								IT TDS NOT APPLICABLE (INV)
	500	IN	9P	    151	0			00	1	2	X	2		X		    000		2	2					0	X	X				TTB								IT TDS NOT APPLICABLE (ADV)
	500	IN	9Q	    149	0			00		1	X	1				    000		2	2						X	X				TTB								GST TDS NOT APPLICABLE (INV)
